Permit Number,Permit Type,Permit Type Definition,Permit Creation Date,Block,Lot,Street Number,Street Number Suffix,Street Name,Street Suffix,Unit,Unit Suffix,Description,Current Status,Current Status Date,Filed Date,Issued Date,Completed Date,First Construction Document Date,Structural Notification,Number of Existing Stories,Number of Proposed Stories,Voluntary Soft-Story Retrofit,Fire Only Permit,Estimated Cost,Revised Cost,Existing Use,Existing Units,Proposed Use,Proposed Units,Plansets,TIDF Compliance,Existing Occupancy,Proposed Occupancy,Existing Construction Type,Existing Construction Type Description,Proposed Construction Type,Proposed Construction Type Description,Site Permit,Last Permit Activity Date,Application Submission Method,ADU,Primary Address Flag,Supervisor District,Neighborhoods - Analysis Boundaries,Zipcode,Location,Point Source,Record ID,data_as_of,data_loaded_at
201810011823,8,otc alterations permit,10/01/2018,0291,012,44,,Montgomery,St,,,"suite# 4050: revision demo of non loading beam, partital ti project to build non load bearing partition and finishes.  maher na  ref 201807164599",issued,10/03/2018 08:38:41 AM,10/01/2018 07:49:14 AM,10/03/2018 08:38:41 AM,,,,43,43,,,1,1,office,,office,,2,,B,B,1,constr type 1,1,constr type 1,,10/03/2018 08:33:00 AM,in-house,N,Y,3,Financial District/South Beach,94104,POINT (-122.401764 37.789806),eas_address_point,152603067101,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201810042270,8,otc alterations permit,10/04/2018,3507,040,1455,,Market,St,,,21st flr mepto support approved arch 201810032088  maher na,issued,10/04/2018 01:34:59 PM,10/04/2018 10:29:03 AM,10/04/2018 01:34:59 PM,,,,21,21,,,325000,325000,office,,office,,2,,B,B,1,constr type 1,1,constr type 1,,10/04/2018 01:30:55 PM,in-house,N,Y,6,South of Market,94103,POINT (-122.418045 37.775856),eas_address_point,1526745394002,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201809109564,8,otc alterations permit,09/10/2018,4884,026,2800,,Arelious Walker,Dr,,,installation of a solar hot water heating system. ground mounted storage tank and roof-mounted collector  maher na,withdrawn,09/11/2018 10:40:49 AM,09/10/2018 11:57:31 AM,,,,,,3,,,54000,0,vacant lot,,apartments,31,2,,,"R-2,S-2",,,5,wood frame (5),,09/11/2018 10:40:17 AM,in-house,N,Y,10,Bayview Hunters Point,94124,POINT (-122.386024 37.717667),eas_address_point,1522860507185,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
200106131497,3,additions alterations or repairs,06/13/2001,0874,014,1,,Church,St,,,"rev. to #200007276238&39 details/calculations fr awnings & marque, add struct. member fr transformer",complete,10/25/2002 12:00:00 AM,06/13/2001 02:24:34 PM,08/14/2001 12:22:57 PM,10/25/2002 12:00:00 AM,,,0,3,,,1000,1000,vacant lot,0,apartments,93,2,,NA,"R-1,S-3",,,1,constr type 1,,08/09/2001 02:21:53 PM,in-house,N,Y,8,Hayes Valley,94114,POINT (-122.42896 37.769726),eas_address_point,88003883743,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201809119630,8,otc alterations permit,09/11/2018,0262,020,100,,Pine,St,,,"25th flr- ti 201806202360 modify (e) fire alarm system. add 1 booster power supply, 10 ceiling speaker/strobes, 2 ceiling strobes, 1 ceiling speaker  maher na",complete,09/24/2018 01:27:40 PM,09/11/2018 07:45:47 AM,09/11/2018 11:10:42 AM,09/24/2018 01:27:40 PM,,,35,35,,Y,7500,9611,office,,office,,2,,B,B,1,constr type 1,1,constr type 1,,09/11/2018 11:07:52 AM,in-house,N,Y,3,Financial District/South Beach,94111,POINT (-122.39897 37.79264),eas_address_point,152295466079,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201810042230,8,otc alterations permit,10/04/2018,0259,026,555,,California,St,0,,"fire alarm work for the ""qia suite 4350"" remodel on floor 43; additions are 1 smoke detector, 5 duct detectors, 11 speaker/strobes, and 3 strobes. ref pa #201808248284. maher na",complete,12/04/2018 02:02:08 PM,10/04/2018 08:11:43 AM,10/05/2018 08:16:41 AM,12/04/2018 02:02:08 PM,,,52,52,,Y,18350,18400,office,0,office,0,2,,B,B,1,constr type 1,1,constr type 1,,10/05/2018 08:14:01 AM,in-house,N,Y,3,Financial District/South Beach,94104,POINT (-122.40352 37.79258),eas_address_point,1526677298587,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201809109522,8,otc alterations permit,09/10/2018,0478,003,2815,,Polk,St,,,revision to 2014-0709-0811 s4; addition o f air conditioning to 3rd floor dwelling unit 3,complete,11/03/2020 03:32:17 PM,09/10/2018 09:02:08 AM,10/01/2018 02:06:06 PM,11/03/2020 03:32:17 PM,,,,3,,,1,2000,,,apartments,3,2,,NA,R-2,,,3,constr type 3,,10/01/2018 01:49:51 PM,in-house,N,Y,2,Russian Hill,94109,POINT (-122.42341 37.80275),eas_address_point,152278771455,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201810254105,8,otc alterations permit,10/25/2018,0259,028,345,,Montgomery,St,,,"revisiont o t201712045429 for new 3 hr fire rate shutter, toilet room plum, ele, service routing & historical t-24 lighting, generator exhaust & flue routing, sewage ejection pump & plaza storm drain routing  maher na",complete,12/14/2020 12:43:27 PM,10/25/2018 09:09:52 AM,10/30/2018 03:07:02 PM,12/14/2020 12:43:27 PM,,,4,4,,,1,10000,office,,office,,2,,"B,A-3","B,A-3",1,constr type 1,1,constr type 1,,10/30/2018 03:00:03 PM,in-house,N,Y,3,Financial District/South Beach,94104,POINT (-122.40303 37.792538),eas_address_point,152938966054,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
201809190762,8,otc alterations permit,09/19/2018,0122,001,1955,,Leavenworth,St,0,,"unit 32 rehabilitate kitchen, rehabilitate bathroom. install w/d  maher na",complete,02/22/2019 01:46:02 PM,09/19/2018 10:46:39 AM,11/15/2018 12:11:00 PM,02/22/2019 01:46:02 PM,,,4,4,,,28000,48894,apartments,15,apartments,15,2,,R-2,R-2,5,wood frame (5),5,wood frame (5),,11/15/2018 12:07:36 PM,in-house,N,Y,3,Russian Hill,94133,POINT (-122.41758 37.799202),eas_address_point,1524456294635,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
200602275542,8,otc alterations permit,02/27/2006,4591A,076,0,,Innes,Av,,,revision to org.pa3200601263179 & 3200602104360 to: revise permit plan per final peer reviewers comments as required by org. permit. request and document an extension request for an additional 30 days fromthe issuance date of this permit to previde cal/ohsa safety permit for the construction of reta,complete,11/05/2008 12:00:00 AM,02/27/2006 04:42:13 PM,02/27/2006 04:53:46 PM,11/05/2008 12:00:00 AM,,,0,0,,,1,1,vacant lot,0,vacant lot,0,2,,NA,NA,,,,,,02/27/2006 04:48:52 PM,in-house,N,Y,10,Bayview Hunters Point,94124,POINT (-122.368487264 37.727353367),parcel_centroid,1045139439703,03/02/2024 11:55:00 PM,03/03/2024 03:32:03 AM
