Permit Type,Street Number,Unit,Number of Existing Stories,Number of Proposed Stories,Voluntary Soft-Story Retrofit,Estimated Cost,Revised Cost,Existing Units,Proposed Units,Plansets,TIDF Compliance,Existing Construction Type,Proposed Construction Type,Supervisor District,Zipcode,Record ID
8,44,,43.0,43.0,,1.0,1.0,,,2,,1.0,1.0,3.0,94104,152603067101
8,1455,,21.0,21.0,,325000.0,325000.0,,,2,,1.0,1.0,6.0,94103,1526745394002
8,2800,,,3.0,,54000.0,0.0,,31.0,2,,,5.0,10.0,94124,1522860507185
3,1,,0.0,3.0,,1000.0,1000.0,0.0,93.0,2,,,1.0,8.0,94114,88003883743
8,100,,35.0,35.0,,7500.0,9611.0,,,2,,1.0,1.0,3.0,94111,152295466079
8,555,0.0,52.0,52.0,,18350.0,18400.0,0.0,0.0,2,,1.0,1.0,3.0,94104,1526677298587
8,2815,,,3.0,,1.0,2000.0,,3.0,2,,,3.0,2.0,94109,152278771455
8,345,,4.0,4.0,,1.0,10000.0,,,2,,1.0,1.0,3.0,94104,152938966054
8,1955,0.0,4.0,4.0,,28000.0,48894.0,15.0,15.0,2,,5.0,5.0,3.0,94133,1524456294635
8,0,,0.0,0.0,,1.0,1.0,0.0,0.0,2,,,,10.0,94124,1045139439703
8,88,,21.0,21.0,,65000.0,65000.0,,,2,,1.0,1.0,3.0,94108,1529040495355
8,550,,2.0,2.0,,1.0,1.0,0.0,0.0,2,,3.0,3.0,6.0,94103,1525264156870
8,1415,,,3.0,,8000.0,10200.0,0.0,1.0,2,,,5.0,10.0,94124,1362608386640
8,425,,38.0,38.0,,16570.0,16570.0,,,2,,1.0,1.0,6.0,94105,1527064164577
8,1411,,,3.0,,8000.0,10200.0,0.0,1.0,2,,,5.0,10.0,94124,1362606386639
8,575,,40.0,40.0,,11960.0,11960.0,,,2,,1.0,1.0,6.0,94105,1524603507760
8,1,,43.0,43.0,,10000.0,10000.0,0.0,0.0,2,,1.0,1.0,3.0,94104,152736367085
8,325,,0.0,5.0,,6900.0,6600.0,0.0,182.0,2,,,3.0,5.0,94102,1348904489797
8,1275,,,5.0,,1.0,1.0,0.0,39.0,2,,,1.0,10.0,94107,1350327460740
3,1597,,0.0,0.0,,1.0,1.0,0.0,0.0,2,,,,5.0,94115,103290780528
8,475,,21.0,21.0,,850000.0,1000000.0,,,2,,1.0,1.0,3.0,94111,134641963342
3,1401,,0.0,0.0,,1.0,1.0,0.0,0.0,2,,,,5.0,94115,103441980530
8,3575,0.0,4.0,4.0,,110000.0,110000.0,18.0,18.0,2,,5.0,5.0,2.0,94123,1519491413765
8,1,,45.0,45.0,,18400.0,18990.0,,,2,,1.0,1.0,3.0,94126,151835763347
8,350,,1.0,1.0,,8960.0,8900.0,0.0,0.0,2,,3.0,3.0,2.0,94115,1339618490502
8,101,,26.0,26.0,,20000.0,200000.0,0.0,0.0,2,,1.0,1.0,6.0,94105,1516068451384
8,235,,24.0,24.0,,10000.0,10000.0,0.0,0.0,2,,1.0,1.0,3.0,94104,133618266161
8,869,,,4.0,,50000.0,60000.0,0.0,8.0,2,,,5.0,10.0,94124,1336091436502
8,1550,,12.0,12.0,,6000.0,6000.0,0.0,0.0,2,,1.0,1.0,9.0,94103,1341218168058
8,600,,5.0,5.0,,546000.0,546000.0,,,2,,1.0,1.0,6.0,94103,1520894167600
